Placa,Marca,Modelo,Color,TipoTransmision,Categoria,Estado,Sede,,
XYZ001    , Ford  , Focus  , Azul  , Automática       ,Economico,Disponible,SedeA,,
XYZ002    , Toyota, Corolla, Blanco, Manual           ,SUV        ,Disponible,SedeB,,
XYZ003    , Honda , Civic  , Negro , Automática       ,Lujo       ,Mantenimiento,SedeC,,
XYZ004    , Chevrolet, Malibu , Plateado , Automática  ,Van        ,Disponible,SedeA,,
XYZ005    , BMW   , X5     , Gris  , Automática       ,Economico,Alquilado,SedeB,,
XYZ006    , Mercedes, C-Class, Rojo  , Manual           ,SUV        ,Mantenimiento,SedeC,,
XYZ007    , Ford  , Escape , Verde , Automática       ,Lujo       ,Disponible,SedeA,,
XYZ008    , Toyota, Highlander , Azul , Automática     ,Van        ,Alquilado,SedeB,,
XYZ009    , Audi  , A6     , Negro , Automática       ,Economico,Mantenimiento,SedeA,,
XYZ010    , Dodge , Grand Caravan, Blanco , Automática ,SUV        ,Disponible,SedeA,,
XYZ011    , Nissan, Altima , Gris  , Manual           ,Lujo       ,Alquilado,SedeA,,
XYZ012    , Jeep  , Wrangler , Naranja , Manual       ,Van        ,Mantenimiento,SedeA,,
XYZ013    , Lexus , RX     , Plateado , Automática    ,Economico,Disponible,SedeA,,
XYZ014    , Hyundai, Santa Fe , Rojo , Automática     ,SUV        ,Alquilado,SedeB,,
XYZ015    , Tesla , Model S, Negro , Automática       ,Lujo       ,Mantenimiento,SedeC,,
XYZ016    , Volkswagen, Tiguan , Blanco , Automática  ,Van        ,Disponible,SedeA,,
XYZ017    , Subaru, Outback , Azul  , Manual           ,Economico,Alquilado,SedeB,,
XYZ018    , Porsche, Panamera, Dorado , Automática    ,SUV        ,Mantenimiento,SedeC,,
XYZ019    , Ford  , Transit , Verde , Manual           ,Lujo       ,Disponible,SedeA,,
XYZ020    , Kia   , Sorento , Gris  , Automática       ,Van        ,Alquilado,SedeB,,
XYZ021    , Jaguar, F-PACE , Negro , Automática       ,Economico,Mantenimiento,SedeC,,
XYZ022    , Chevrolet, Express , Blanco , Manual      ,SUV        ,Disponible,SedeA,,
XYZ023    , Toyota, RAV4   , Rojo  , Automática       ,Lujo       ,Alquilado,SedeB,,
XYZ024    , Volvo , XC90   , Plateado , Automática    ,Van        ,Mantenimiento,SedeC,,
XYZ025    , GMC   , Savana , Azul  , Manual           ,Economico,Disponible,SedeA,,
XYZ026    , Ford  , Explorer, Negro , Automática       ,SUV        ,Alquilado,SedeB,,
XYZ027    , BMW   , 7 Series, Gris  , Automática       ,Lujo       ,Mantenimiento,SedeC,,
XYZ028    , Chevrolet, Traverse , Blanco , Automática ,Van        ,Disponible,SedeA,,
XYZ029    , Audi  , Q5     , Rojo  , Manual           ,Economico,Alquilado,SedeB,,
XYZ030    , Honda , Odyssey , Plateado , Automática   ,SUV        ,Mantenimiento,SedeC,,
XYZ031    , Mercedes, GLC   , Dorado , Automática      ,Lujo       ,Disponible,SedeA,,
XYZ032    , Toyota, Sienna , Negro , Manual           ,Van        ,Alquilado,SedeB,,
XYZ033    , Ford  , Mustang, Azul  , Automática       ,Economico,Mantenimiento,SedeC,,
XYZ034    , Hyundai, Tucson , Blanco , Automática      ,SUV        ,Disponible,SedeA,,
XYZ035    , Tesla , Model X, Negro , Manual           ,Lujo       ,Alquilado,SedeB,,
XYZ036    , Lexus , NX     , Gris  , Automática       ,Van        ,Mantenimiento,SedeC,,
XYZ037    , Jeep  , Grand Cherokee, Rojo , Automática ,Economico,Disponible,SedeA,,
XYZ038    , Subaru, Forester, Plateado , Manual        ,SUV        ,Alquilado,SedeB,,
XYZ039    , Porsche, Cayenne, Dorado , Automática     ,Lujo       ,Mantenimiento,SedeC,,
XYZ040    , Dodge , Journey, Verde , Automática       ,Van        ,Disponible,SedeA,,
XYZ041    , Nissan, Pathfinder , Azul , Automática    ,Economico,Alquilado,SedeB,,
XYZ042    , Jaguar, E-PACE, Rojo  , Manual           ,SUV        ,Mantenimiento,SedeC,,
XYZ043    , Chevrolet, Colorado , Plateado , Manual   ,Lujo       ,Disponible,SedeA,,
XYZ044    , Toyota, Land Cruiser , Blanco , Automática,Van        ,Alquilado,SedeB,,
XYZ045    , Volvo , V60   , Negro , Automática        ,Economico,Mantenimiento,SedeC,,
XYZ046    , GMC   , Yukon  , Gris  , Manual           ,SUV        ,Disponible,SedeA,,
XYZ047    , Ford  , Ecosport, Dorado , Automática     ,Lujo       ,Alquilado,SedeB,,
XYZ048    , BMW   , X3     , Verde , Manual           ,Van        ,Mantenimiento,SedeC,,
XYZ049    , Chevrolet, Tahoe , Azul  , Automática      ,Economico,Disponible,SedeA,,
XYZ050    , Audi  , A8     , Rojo  , Automática       ,SUV        ,Alquilado,SedeB,,
